iter	RMSE
0	4.499485095
1	4.427150512
2	4.365999576
3	4.306732222
4	4.251480378
5	4.200563005
6	4.154126898
7	4.109793502
8	4.069134123
9	4.030983964
10	3.996190119
11	3.961980004
12	3.929314653
13	3.900722842
14	3.873317383
15	3.847727149
16	3.822703778
17	3.798520674
18	3.778095224
19	3.759624775
20	3.740815809
21	3.726314056
22	3.711928609
23	3.69934204
24	3.685707677
25	3.672827337
26	3.661280908
27	3.650154539
28	3.640518276
29	3.632090346
30	3.624274507
31	3.616377195
32	3.609599977
33	3.601786607
34	3.59569322
35	3.589799665
36	3.584271581
37	3.579051107
38	3.573360178
39	3.568499076
40	3.56367343
41	3.559394354
42	3.554653374
43	3.550385455
44	3.546820609
45	3.543807117
46	3.539986703
47	3.537272297
48	3.534189034
49	3.531811777
50	3.528950376
51	3.526541709
52	3.523950109
53	3.521685548
54	3.519982352
55	3.51804249
56	3.515642834
57	3.513299872
58	3.511367062
59	3.509747663
60	3.508174715
61	3.506247849
62	3.504518011
63	3.502920878
64	3.501330192
65	3.500132667
66	3.498719417
67	3.496976119
68	3.495719143
69	3.494565689
70	3.492810951
71	3.491552419
72	3.490203627
73	3.48884556
74	3.487862628
75	3.487004646
76	3.485926404
77	3.484762341
78	3.483489612
79	3.482425989
80	3.48095063
81	3.480127628
82	3.479301586
83	3.478582082
84	3.477957458
85	3.477233078
86	3.476150362
87	3.475541413
88	3.474798566
89	3.474047801
90	3.473263665
91	3.472562231
92	3.471576657
93	3.470789529
94	3.469866026
95	3.469329284
96	3.468692349
97	3.468044387
98	3.467308275
99	3.466470809
100	3.466011218
101	3.465510086
102	3.464813149
103	3.464115699
104	3.463418597
105	3.462986375
106	3.462547639
107	3.461848267
108	3.461131835
109	3.460478871
110	3.459894021
111	3.458880615
112	3.458183747
113	3.457642069
114	3.456662543
115	3.456215849
116	3.455795702
117	3.455083297
118	3.454461245
119	3.454122035
120	3.453762123
121	3.453110284
122	3.45266995
123	3.452112759
124	3.451696038
125	3.451289371
126	3.451010647
127	3.450318102
128	3.449638769
129	3.449258206
130	3.448929937
131	3.448385108
132	3.447809275
133	3.447081029
134	3.446576564
135	3.446176741
136	3.445616989
137	3.445073506
138	3.444785751
139	3.444236954
140	3.443812131
141	3.44339873
142	3.442848204
143	3.442355784
144	3.44192607
145	3.441667462
146	3.441259578
147	3.440953408
148	3.440270028
149	3.43975662
150	3.439421628
151	3.438962188
152	3.438652393
153	3.438335127
154	3.437652461
155	3.43728761
156	3.43694353
157	3.43646226
158	3.436061935
159	3.435390798
160	3.434959724
161	3.434673408
162	3.434253393
163	3.43386815
164	3.433403423
165	3.432990782
166	3.432451146
167	3.432191781
168	3.431781929
169	3.431119138
170	3.430783725
171	3.430220923
172	3.429699604
173	3.42940294
174	3.429070273
175	3.428444874
176	3.428010586
177	3.427604731
178	3.427057136
179	3.42671432
180	3.426322483
181	3.425930061
182	3.425252658
183	3.424842049
184	3.424479039
185	3.423955756
186	3.423309937
187	3.422879423
188	3.422225408
189	3.42193188
190	3.42171012
191	3.421171652
192	3.420846234
193	3.420424511
194	3.420234607
195	3.419932943
196	3.419640255
197	3.419293879
198	3.419085944
199	3.418822418
200	3.418448525
201	3.41803094
202	3.417724548
203	3.417276318
204	3.416787706
205	3.416279145
206	3.416068599
207	3.415580341
208	3.415050861
209	3.414746265
210	3.414309895
211	3.413965824
212	3.413458175
213	3.412888198
214	3.412354589
215	3.412177502
216	3.411840769
217	3.411486553
218	3.411103737
219	3.410752531
220	3.41037053
221	3.409830364
222	3.409538742
223	3.409254126
224	3.408884304
225	3.408557482
226	3.408290104
227	3.407858571
228	3.40766702
229	3.407234547
230	3.406953456
231	3.406691196
232	3.406330184
233	3.405964863
234	3.40537977
235	3.404952413
236	3.404497089
237	3.404308383
238	3.403894097
239	3.403611611
240	3.403088558
241	3.402611298
242	3.402269851
243	3.401921001
244	3.401441787
245	3.401077475
246	3.400686408
247	3.400313606
248	3.399883338
249	3.399712826
250	3.399376047
251	3.399089101
252	3.398572383
253	3.398235411
254	3.397978454
255	3.397725089
256	3.39736961
257	3.397144437
258	3.396598016
259	3.396107234
260	3.395728234
261	3.395243006
262	3.394958635
263	3.39452096
264	3.394330802
265	3.393859833
266	3.393461367
267	3.393240687
268	3.392953207
269	3.392699708
270	3.392266999
271	3.39173612
272	3.391220723
273	3.390959463
274	3.390480821
275	3.390180604
276	3.389622197
277	3.389255999
278	3.388911462
279	3.38851375
280	3.387924104
281	3.387423426
282	3.386761897
283	3.386212656
284	3.385588902
285	3.385449476
286	3.385193932
287	3.38492429
288	3.384495788
289	3.384325813
290	3.383924282
291	3.383528313
292	3.383034672
293	3.382784009
294	3.382363327
295	3.382050118
296	3.381910703
297	3.381482543
298	3.381109722
299	3.380679167
