iter	Passed	Remaining
0	13	4148
1	21	3200
2	29	2877
3	36	2681
4	43	2574
5	52	2552
6	59	2492
7	66	2444
8	73	2376
9	81	2354
10	87	2305
11	94	2276
12	101	2233
13	108	2221
14	115	2193
15	121	2162
16	129	2155
17	136	2134
18	142	2109
19	149	2098
20	156	2074
21	163	2069
22	171	2062
23	178	2047
24	185	2035
25	191	2022
26	198	2003
27	205	1995
28	211	1981
29	218	1966
30	226	1961
31	233	1951
32	239	1941
33	246	1930
34	253	1920
35	260	1908
36	266	1893
37	281	1938
38	289	1935
39	296	1928
40	303	1915
41	310	1908
42	317	1898
43	324	1889
44	331	1879
45	337	1863
46	344	1856
47	351	1844
48	358	1835
49	365	1827
50	372	1818
51	378	1806
52	385	1798
53	392	1786
54	399	1777
55	406	1769
56	412	1759
57	419	1748
58	426	1740
59	432	1731
60	438	1718
61	446	1712
62	453	1704
63	459	1693
64	466	1686
65	472	1673
66	479	1665
67	485	1654
68	491	1647
69	498	1637
70	505	1629
71	512	1621
72	518	1613
73	525	1604
74	531	1594
75	538	1586
76	544	1577
77	551	1570
78	557	1560
79	564	1553
80	571	1544
81	578	1536
82	584	1528
83	591	1519
84	596	1510
85	603	1502
86	610	1493
87	616	1485
88	622	1475
89	629	1469
90	635	1460
91	642	1453
92	649	1444
93	657	1439
94	664	1434
95	671	1427
96	679	1421
97	685	1413
98	693	1407
99	700	1401
100	707	1394
101	715	1388
102	722	1382
103	730	1376
104	736	1368
105	744	1362
106	751	1354
107	758	1349
108	765	1341
109	773	1335
110	779	1327
111	787	1322
112	795	1316
113	802	1309
114	810	1304
115	818	1297
116	824	1290
117	833	1284
118	840	1277
119	849	1274
120	857	1269
121	865	1262
122	873	1256
123	880	1250
124	888	1243
125	895	1236
126	902	1229
127	910	1223
128	917	1216
129	925	1210
130	933	1204
131	941	1198
132	949	1191
133	957	1185
134	964	1178
135	971	1172
136	979	1165
137	987	1159
138	994	1152
139	1002	1146
140	1010	1139
141	1018	1133
142	1025	1125
143	1033	1119
144	1040	1112
145	1048	1106
146	1055	1098
147	1064	1092
148	1071	1086
149	1095	1095
150	1109	1094
151	1120	1090
152	1132	1088
153	1145	1085
154	1158	1083
155	1169	1079
156	1179	1074
157	1189	1069
158	1197	1062
159	1205	1055
160	1213	1047
161	1221	1040
162	1229	1033
163	1236	1025
164	1244	1018
165	1252	1010
166	1260	1003
167	1267	995
168	1275	988
169	1283	981
170	1290	973
171	1298	966
172	1306	958
173	1314	951
174	1321	944
175	1329	936
176	1337	929
177	1344	921
178	1352	914
179	1360	906
180	1367	899
181	1375	892
182	1383	884
183	1391	877
184	1398	869
185	1407	862
186	1415	855
187	1423	847
188	1431	840
189	1438	832
190	1446	825
191	1453	817
192	1461	810
193	1469	803
194	1476	794
195	1484	787
196	1491	779
197	1499	772
198	1506	764
199	1515	757
200	1523	750
201	1530	742
202	1538	735
203	1547	728
204	1568	727
205	1584	723
206	1596	717
207	1609	712
208	1621	706
209	1634	700
210	1646	694
211	1657	688
212	1668	681
213	1677	674
214	1687	667
215	1696	659
216	1706	652
217	1714	644
218	1723	637
219	1732	629
220	1741	622
221	1749	614
222	1757	606
223	1765	598
224	1772	590
225	1779	582
226	1787	574
227	1794	566
228	1801	558
229	1808	550
230	1816	542
231	1823	534
232	1831	526
233	1839	518
234	1846	510
235	1853	502
236	1861	494
237	1869	486
238	1876	478
239	1884	471
240	1891	463
241	1899	455
242	1907	447
243	1914	439
244	1922	431
245	1930	423
246	1937	415
247	1945	407
248	1952	399
249	1959	391
250	1967	384
251	1975	376
252	1983	368
253	1990	360
254	1998	352
255	2005	344
256	2013	336
257	2020	328
258	2027	321
259	2034	313
260	2042	305
261	2050	297
262	2057	289
263	2065	281
264	2072	273
265	2080	265
266	2088	258
267	2096	250
268	2103	242
269	2111	234
270	2119	226
271	2127	218
272	2135	211
273	2142	203
274	2150	195
275	2158	187
276	2166	179
277	2174	172
278	2181	164
279	2188	156
280	2196	148
281	2204	140
282	2212	132
283	2219	125
284	2228	117
285	2235	109
286	2242	101
287	2249	93
288	2258	85
289	2265	78
290	2272	70
291	2280	62
292	2288	54
293	2295	46
294	2303	39
295	2310	31
296	2318	23
297	2325	15
298	2333	7
299	2340	0
