WD23CD,WD23NM,WD23NMW,ObjectId
E05000982,Dearne South,,1
E05000932,Ainsdale,,2
E05001699,Howden,,3
E05001390,Batley East,,4
E05001269,Hateley Heath,,5
E05001129,St Mary's,,6
E05001319,Willenhall North,,7
E05001219,Binley and Willenhall,,8
E05000983,Dodworth,,9
E05000984,Hoyland Milton,,10
E05000985,Kingstone,,11
E05000986,Monk Bretton,,12
E05000987,North East,,13
E05000988,Old Town,,14
E05000989,Penistone East,,15
E05000990,Penistone West,,16
E05000991,Rockingham,,17
E05000992,Royston,,18
E05000993,St Helens,,19
E05000994,Stairfoot,,20
E05000995,Wombwell,,21
E05000996,Worsbrough,,22
E05001067,Birtley,,23
E05001068,Blaydon,,24
E05001069,Bridges,,25
E05001071,Chowdene,,26
E05001072,Crawcrook and Greenside,,27
E05001073,Deckham,,28
E05001074,Dunston and Teams,,29
E05001075,Dunston Hill and Whickham East,,30
E05001076,Felling,,31
E05001077,High Fell,,32
E05001078,Lamesley,,33
E05001079,Lobley Hill and Bensham,,34
E05001080,Low Fell,,35
E05001081,Pelaw and Heworth,,36
E05001082,"Ryton, Crookhill and Stella",,37
E05001083,Saltwell,,38
E05001084,Wardley and Leam Lane,,39
E05001085,Whickham North,,40
E05001086,Whickham South and Sunniside,,41
E05001087,Windy Nook and Whitehills,,42
E05001088,Winlaton and High Spen,,43
E05001115,Battle Hill,,44
E05001116,Benton,,45
E05001117,Camperdown,,46
E05001118,Chirton,,47
E05001119,Collingwood,,48
E05001120,Cullercoats,,49
E05001121,Howdon,,50
E05001122,Killingworth,,51
E05001123,Longbenton,,52
E05001124,Monkseaton North,,53
E05001125,Monkseaton South,,54
E05001126,Northumberland,,55
E05001220,Cheylesmore,,56
E05000933,Birkdale,,57
E05001700,Howdenshire,,58
E05001391,Batley West,,59
E05001127,Preston,,60
E05001320,Willenhall South,,61
E05001392,Birstall and Birkenshaw,,62
E05001701,Mid Holderness,,63
E05000934,Blundellsands,,64
E05001221,Earlsdon,,65
E05001128,Riverside,,66
E05000935,Cambridge,,67
E05001702,Minster and Woodmansey,,68
E05001393,Cleckheaton,,69
E05001341,Baildon,,70
E05001222,Foleshill,,71
E05001396,Dalton,,72
E05001703,North Holderness,,73
E05000936,Church,,74
E05001342,Bingley,,75
E05000937,Derby,,76
E05001705,St Mary's,,77
E05001397,Denby Dale,,78
E05001223,Henley,,79
E05001398,Dewsbury East,,80
E05001706,"Snaith, Airmyn, Rawcliffe and Marshland",,81
E05000938,Duke's,,82
E05001343,Bingley Rural,,83
E05001224,Holbrook,,84
E05000939,Ford,,85
E05001707,South East Holderness,,86
E05001399,Dewsbury South,,87
E05001344,Bolton and Undercliffe,,88
E05001708,South Hunsley,,89
E05000940,Harington,,90
E05001130,Tynemouth,,91
E05001225,Longford,,92
E05001400,Dewsbury West,,93
E05000941,Kew,,94
E05001709,South West Holderness,,95
E05001131,Valley,,96
E05001270,Langley,,97
E05001345,Bowling and Barkerend,,98
E05001226,Lower Stoke,,99
E05001710,Tranby,,100
E05000942,Linacre,,101
E05001401,Golcar,,102
E05001271,Newton,,103
E05001132,Wallsend,,104
E05001346,Bradford Moor,,105
E05001402,Greenhead,,106
E05000943,Litherland,,107
E05001711,Willerby and Kirk Ella,,108
E05001272,Old Warley,,109
E05001227,Radford,,110
E05001133,Weetslade,,111
E05001713,Croft Baker,,112
E05000944,Manor,,113
E05001403,Heckmondwike,,114
E05001273,Oldbury,,115
E05001228,St Michael's,,116
E05001229,Sherbourne,,117
E05001230,Upper Stoke,,118
E05001231,Wainbody,,119
E05001232,Westwood,,120
E05001233,Whoberley,,121
E05001234,Woodlands,,122
E05001235,Wyken,,123
E05001236,Amblecote,,124
E05001237,Belle Vale,,125
E05001238,Brierley Hill,,126
E05001239,Brockmoor and Pensnett,,127
E05001240,Castle and Priory,,128
E05001241,Coseley East,,129
E05001242,Cradley and Wollescote,,130
E05001243,Gornal,,131
E05001244,Halesowen North,,132
E05001245,Halesowen South,,133
E05001246,Hayley Green and Cradley South,,134
E05001247,Kingswinford North and Wall Heath,,135
E05001248,Kingswinford South,,136
