LSOA11CD,LSOA11NM,WD20CD,WD20NM,LAD20CD,LAD20NM,FID
E01000289,Barnet 004D,E05000060,Underhill,E09000003,Barnet,28001
E01000290,Barnet 007F,E05000060,Underhill,E09000003,Barnet,28002
E01000090,Barking and Dagenham 020E,E05000038,River,E09000002,Barking and Dagenham,28003
E01000291,Barnet 004E,E05000060,Underhill,E09000003,Barnet,28004
E01000292,Barnet 001E,E05000060,Underhill,E09000003,Barnet,28005
E01000293,Barnet 001F,E05000060,Underhill,E09000003,Barnet,28006
E01000294,Barnet 004F,E05000060,Underhill,E09000003,Barnet,28007
E01000091,Barking and Dagenham 022A,E05000039,Thames,E09000002,Barking and Dagenham,28008
E01000295,Barnet 023B,E05000061,West Finchley,E09000003,Barnet,28009
E01000092,Barking and Dagenham 019E,E05000039,Thames,E09000002,Barking and Dagenham,28010
E01000296,Barnet 023C,E05000061,West Finchley,E09000003,Barnet,28011
E01000093,Barking and Dagenham 022B,E05000039,Thames,E09000002,Barking and Dagenham,28012
E01000297,Barnet 027D,E05000061,West Finchley,E09000003,Barnet,28013
E01000094,Barking and Dagenham 022C,E05000039,Thames,E09000002,Barking and Dagenham,28014
E01000298,Barnet 023D,E05000061,West Finchley,E09000003,Barnet,28015
E01000095,Barking and Dagenham 018E,E05000039,Thames,E09000002,Barking and Dagenham,28016
E01000299,Barnet 019A,E05000061,West Finchley,E09000003,Barnet,28017
E01000096,Barking and Dagenham 022D,E05000039,Thames,E09000002,Barking and Dagenham,28018
E01000300,Barnet 019B,E05000061,West Finchley,E09000003,Barnet,28019
E01000097,Barking and Dagenham 023C,E05000040,Valence,E09000002,Barking and Dagenham,28020
E01000301,Barnet 020C,E05000061,West Finchley,E09000003,Barnet,28021
E01000098,Barking and Dagenham 023D,E05000040,Valence,E09000002,Barking and Dagenham,28022
E01000302,Barnet 019C,E05000061,West Finchley,E09000003,Barnet,28023
E01000099,Barking and Dagenham 023E,E05000040,Valence,E09000002,Barking and Dagenham,28024
E01000303,Barnet 020D,E05000061,West Finchley,E09000003,Barnet,28025
E01000100,Barking and Dagenham 004B,E05000040,Valence,E09000002,Barking and Dagenham,28026
E01000304,Barnet 020E,E05000061,West Finchley,E09000003,Barnet,28027
E01000101,Barking and Dagenham 004C,E05000040,Valence,E09000002,Barking and Dagenham,28028
E01000305,Barnet 036B,E05000062,West Hendon,E09000003,Barnet,28029
E01000102,Barking and Dagenham 007G,E05000040,Valence,E09000002,Barking and Dagenham,28030
E01000306,Barnet 036C,E05000062,West Hendon,E09000003,Barnet,28031
E01000103,Barking and Dagenham 014A,E05000041,Village,E09000002,Barking and Dagenham,28032
E01000307,Barnet 039D,E05000062,West Hendon,E09000003,Barnet,28033
E01000104,Barking and Dagenham 014B,E05000041,Village,E09000002,Barking and Dagenham,28034
E01000308,Barnet 036D,E05000062,West Hendon,E09000003,Barnet,28035
E01000105,Barking and Dagenham 014C,E05000041,Village,E09000002,Barking and Dagenham,28036
E01000309,Barnet 031D,E05000062,West Hendon,E09000003,Barnet,28037
E01000310,Barnet 034C,E05000062,West Hendon,E09000003,Barnet,28038
E01000311,Barnet 034D,E05000062,West Hendon,E09000003,Barnet,28039
E01000312,Barnet 036E,E05000062,West Hendon,E09000003,Barnet,28040
