number,value,params_batch_size,params_cat_emb_dim,params_gamma,params_gamma_lr,params_lr,params_momentum,params_n_a,params_n_d,params_n_steps,params_optimizer,params_patience,params_scheduler,params_step_size,params_virtual_batch_size,params_weight_decay,user_attrs_avg_mae,user_attrs_avg_r2
0,10.725883027638437,512,2,2.197316968394073,,0.0002636875533972306,0.21809232846471063,123,53,8,SGD,10,CosineAnnealingLR,,128,4.207053950287936e-06,8.966930707295736,-4.899448871612549
1,13.521417071099536,2048,1,2.0284688768272234,,0.003971084710792475,0.10571867172625618,103,63,4,Adam,13,CosineAnnealingLR,,64,1.5339162591163623e-06,6.395012219746907,-17.269601265589397
2,3.5114774279851457,512,3,2.550265646722229,,0.0343304473310619,0.275922051138418,30,74,10,Adam,8,CosineAnnealingLR,,256,0.003795853142670641,2.663017193476359,0.36781368652979535
3,8.262543874943885,1024,5,2.4580143360819746,,0.012068006375483968,0.3286796555862121,106,8,8,SGD,12,CosineAnnealingLR,,64,1.9777828512462715e-06,6.91814120610555,-2.5002311865488687
4,9.465652474809232,1024,5,1.215782853986609,,0.0001215700035639442,0.08544031163221713,59,71,3,SGD,13,CosineAnnealingLR,,128,0.00035127047262708476,8.109894752502441,-3.593827565511068
5,3.600225550968473,512,1,1.2201038490553535,,0.0004122780057519721,0.3408628679755554,116,105,5,Adam,9,CosineAnnealingLR,,64,5.110120656497168e-05,2.7389957904815674,0.3355104724566142
6,4.162687194347588,256,1,2.005358046457723,0.5406303965244837,0.00013770179626254462,0.7563872230221432,12,42,7,AdamW,14,StepLR,13.0,64,1.3019246714361584e-05,3.165062586466471,0.11040250460306804
7,5.560388046934288,1024,5,1.452991550395876,,0.00551190861981638,0.8697925663133614,10,89,7,SGD,15,CosineAnnealingLR,,256,4.982711200081135e-06,4.223822434743245,-0.5856509208679199
8,6.169920360393696,2048,2,2.794220519905154,,0.024786753644700073,0.6602317337258947,50,49,8,SGD,16,CosineAnnealingLR,,64,0.0013167465326936148,4.737119197845459,-0.9514633417129517
9,4.912336644087664,1024,5,2.1366172066709432,,0.00017898860717539727,0.5025843512430882,110,86,8,Adam,20,CosineAnnealingLR,,64,2.95708094149435e-05,3.7410147190093994,-0.23710274696350098
10,3.60502681633602,512,3,2.8889982909577956,0.9120370868504935,0.04523212563411911,0.49475141539361317,32,122,10,AdamW,5,StepLR,5.0,256,0.004272274816226801,2.7160117626190186,0.332618772983551
11,3.5816946427053673,512,3,1.5339821458907394,0.948207439286346,0.0008294247231861775,0.36410994545497816,81,120,5,Adam,7,StepLR,20.0,256,9.888041038930723e-05,2.709195534388224,0.3423251310984294
12,3.5853041931032803,512,3,1.645031431472901,0.9237924622910343,0.0011819161681857553,0.45113329583555134,82,128,5,Adam,5,StepLR,20.0,256,0.00021846946643189644,2.722192923227946,0.341038982073466
13,6.857535191124076,512,3,1.747955411483169,0.7252607021313061,0.0008886820561276278,0.24288011484425615,81,22,10,Adam,8,StepLR,20.0,256,0.008525986234166632,5.417151769002278,-1.410898764928182
14,3.5037218521903846,256,3,2.5172620132902654,0.7563868681863879,0.0019445071179142726,0.6399904819787444,42,102,5,Adam,7,StepLR,14.0,256,0.0006250271043589514,2.655688206354777,0.37067723274230957
15,3.4909680138660533,256,3,2.486669001568457,0.7241922610392971,0.002009990540049987,0.6698797705613465,37,96,6,Adam,11,StepLR,13.0,256,0.0011162873840859062,2.6387317975362143,0.3752371470133464
16,3.5189849579529935,256,3,2.4599106466453233,0.7202695589481807,0.002490686433339178,0.9839659293487147,41,103,6,Adam,11,StepLR,12.0,256,0.0007720478502271277,2.675299564997355,0.365062415599823
17,3.4831998836338087,256,3,2.683302502279076,0.7564574640333832,0.008099908701679004,0.666372179148217,66,102,3,AdamW,17,StepLR,13.0,256,0.0008145201619990178,2.6415257453918457,0.3780392011006673
18,3.4619323575298253,256,3,2.9789230888111398,0.7933772995677532,0.011065469301301083,0.6454639265802251,67,87,3,AdamW,18,StepLR,10.0,128,0.0019716426920030664,2.613555987675985,0.38561256726582843
19,3.4628187029232045,256,2,2.7743397533828533,0.827145323505655,0.011207089950224229,0.8022113048505718,71,113,3,AdamW,18,StepLR,9.0,128,0.002449819814293037,2.6183698972066245,0.3852986693382263
