number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lr,params_n_d,params_n_steps,params_weight_decay,state
0,23.394972520206668,2025-05-13 19:23:53.277301,2025-05-13 19:26:02.201264,0 days 00:02:08.923963,1024,2.158411366473704,0.0002164850205597086,24,4,0.0007483983444474277,COMPLETE
1,3.8207611461550037,2025-05-13 19:26:02.202261,2025-05-13 19:31:42.723595,0 days 00:05:40.521334,256,1.8574198773040114,0.0004044691720147255,48,4,5.843175844940532e-06,COMPLETE
2,3.6913101993151174,2025-05-13 19:31:42.723595,2025-05-13 19:36:08.023826,0 days 00:04:25.300231,512,2.451946178461437,0.031657241639839705,37,10,2.256942385969917e-05,COMPLETE
3,3.6645718954483173,2025-05-13 19:36:08.023826,2025-05-13 19:39:36.943043,0 days 00:03:28.919217,256,1.740420267704855,0.004570492204642769,59,4,0.0002045817227341873,COMPLETE
4,3.8346646318258606,2025-05-13 19:39:36.943043,2025-05-13 19:43:40.936092,0 days 00:04:03.993049,1024,1.9410678558757755,0.0035143989127498524,63,7,0.0015035999573694181,COMPLETE
5,3.9541115925541077,2025-05-13 19:43:40.937090,2025-05-13 19:46:53.639860,0 days 00:03:12.702770,1024,2.2560985575166037,0.047687418925844806,24,9,0.003664296053114238,COMPLETE
6,3.9747492082333102,2025-05-13 19:46:53.639860,2025-05-14 13:49:35.558153,0 days 18:02:41.918293,1024,1.2614293808920682,0.0010608041157338039,18,4,0.004268382594644976,COMPLETE
7,5.345303285927671,2025-05-14 13:49:35.559454,2025-05-14 13:50:44.960586,0 days 00:01:09.401132,1024,2.20800154667003,0.009492436929344754,35,5,3.2204622505637445e-06,COMPLETE
8,3.712014554026638,2025-05-14 13:50:44.961593,2025-05-14 13:54:58.337635,0 days 00:04:13.376042,256,2.121500497126811,0.014454746587440033,29,8,1.4151660624670576e-05,COMPLETE
9,3.669217944939222,2025-05-14 13:54:58.338635,2025-05-14 13:56:15.892695,0 days 00:01:17.554060,512,1.205194236860346,0.01372025761344749,59,3,1.5200571462182122e-05,COMPLETE
