year,month,actual_mean,actual_sum,actual_count,pred_ensemble_mean,pred_ensemble_sum,abs_error_mean,abs_error_median,is_underpredicted_mean,r2_score
2020,11,5.2901,3592.0,679,6.1096,4148.4175,2.2979,2.0642,0.3343,0.34992851429444904
2020,12,4.7953,3256.0,679,5.6693,3849.4863,2.2425,1.9345,0.2946,0.275782927877133
2021,1,4.2371,2877.0,679,5.2969,3596.5637,2.141,1.782,0.2651,0.29112910021532323
2021,2,3.9882,2708.0,679,4.8819,3314.7854,1.9145,1.6049,0.296,0.2867962215907174
2021,3,4.6097,3130.0,679,4.5429,3084.6006,1.8466,1.4581,0.4197,0.42412405538732134
2021,4,3.9867,2707.0,679,3.392,2303.1514,1.7269,1.2066,0.5479,0.32930995148717834
2021,5,4.0383,2742.0,679,4.2583,2891.4043,1.755,1.481,0.4271,0.4340088720518551
2021,6,4.0088,2722.0,679,4.2968,2917.5498,1.7284,1.4828,0.3976,0.4248052639573793
2021,7,4.1001,2784.0,679,4.3342,2942.9463,1.7088,1.3524,0.3756,0.46551989782805225
2021,8,4.1517,2819.0,679,4.4519,3022.845,1.7655,1.3911,0.3726,0.41986657064612753
2021,9,4.1399,2811.0,679,4.4212,3001.966,1.7073,1.4428,0.3962,0.44525723903632586
2021,10,4.5965,3121.0,679,5.008,3400.4124,1.8886,1.6529,0.3741,0.4024678368704293
2021,11,4.7511,3226.0,679,5.3629,3641.3943,2.0984,1.717,0.3461,0.2720857838266899
2021,12,4.5758,3107.0,679,5.0536,3431.4084,1.9246,1.5758,0.3432,0.3385752669010256
2022,1,4.5596,3096.0,679,4.9151,3337.3345,1.8934,1.4848,0.3726,0.42279351429166456
2022,2,3.9381,2674.0,679,4.514,3064.9858,1.8376,1.5756,0.3211,0.36911643362497204
2022,3,4.2106,2859.0,679,4.1033,2786.15,1.7335,1.4184,0.4153,0.40583142920897286
2022,4,3.6495,2478.0,679,3.6937,2508.0308,1.4913,1.2,0.4654,0.43783826493879296
2022,5,4.1208,2798.0,679,3.9876,2707.5781,1.7388,1.3459,0.4728,0.35634351895676797
2022,6,3.8292,2600.0,679,3.7242,2528.748,1.6762,1.3207,0.4698,0.3923605738747866
2022,7,3.4948,2373.0,679,3.6355,2468.516,1.506,1.203,0.4536,0.4253814741905332
2022,8,3.8027,2582.0,679,3.7726,2561.5803,1.5658,1.2376,0.4669,0.4506356620987694
2022,9,4.1753,2835.0,679,4.1894,2844.606,1.7591,1.444,0.4345,0.40172420936645536
2022,10,4.4315,3009.0,679,4.7389,3217.7097,1.878,1.6795,0.3785,0.362285688747805
2022,11,4.5994,3123.0,679,4.945,3357.6335,2.0534,1.7326,0.3741,0.3155626721872524
2022,12,4.2224,2867.0,679,4.8115,3267.0264,1.8971,1.539,0.3314,0.328277953463632
2023,1,4.7865,3250.0,679,4.6832,3179.8633,2.0288,1.6251,0.408,0.39751051614210675
2023,2,4.3402,2947.0,679,4.5503,3089.6323,1.8245,1.4429,0.3697,0.3794317397301876
2023,3,4.5817,3111.0,679,4.3877,2979.2566,2.0061,1.7104,0.4183,0.36553596618679685
2023,4,3.8704,2628.0,679,3.9639,2691.497,1.7152,1.3747,0.408,0.4044136589126932
2023,5,4.3638,2963.0,679,3.7128,2521.003,1.8553,1.3987,0.5449,0.36072247471182073
2023,6,4.5243,3072.0,679,3.7199,2525.8003,1.9011,1.3223,0.5935,0.36889200958247503
2023,7,4.4168,2999.0,679,4.2865,2910.5334,1.9136,1.5389,0.4433,0.41599930313570355
2023,8,4.6406,3151.0,679,4.4183,3000.0034,1.9249,1.5075,0.4492,0.41934301042583155
2023,9,4.6259,3141.0,679,4.6236,3139.4485,1.9794,1.6286,0.4109,0.3802971088513214
2023,10,4.57,3103.0,679,4.8431,3288.4976,2.0078,1.6571,0.3873,0.38916457230986534
2023,11,4.7629,3234.0,679,5.175,3513.8013,2.1039,1.8592,0.3594,0.3441032245958182
2023,12,5.1046,3466.0,679,5.0547,3432.164,2.1207,1.7943,0.4345,0.36258412196989565
2024,1,5.1473,3495.0,679,5.1534,3499.1292,1.9986,1.6739,0.4168,0.4216089122028239
2024,2,4.5022,3057.0,679,4.7176,3203.2542,1.9207,1.5928,0.3814,0.3265858373327786
2024,3,4.5994,3123.0,679,4.5144,3065.3003,1.804,1.4024,0.4183,0.39859958570306064
2024,4,4.1885,2844.0,679,4.2854,2909.763,1.6703,1.3118,0.4256,0.46245454043029566
2024,5,3.8262,2598.0,679,4.2117,2859.7507,1.7239,1.4591,0.38,0.3809363023482597
2024,6,3.7599,2553.0,679,3.6903,2505.7473,1.6423,1.2153,0.4698,0.4362723697758306
2024,7,3.972,2697.0,679,4.2547,2888.9243,1.7644,1.527,0.3859,0.4228472155737627
2024,8,4.1252,2801.0,679,4.0356,2740.1804,1.795,1.3596,0.4521,0.3739012498907649
2024,9,4.0015,2717.0,679,4.5506,3089.8835,1.8464,1.6291,0.3402,0.3535126328668602
2024,10,4.5523,3091.0,679,4.8897,3320.1316,1.9049,1.493,0.3873,0.36131801246897455
2024,11,4.6436,3153.0,679,5.117,3474.4417,1.9627,1.6805,0.3402,0.3273240170291253
2024,12,4.7968,3257.0,679,4.9775,3379.7344,2.0035,1.6195,0.4197,0.3507619557720716
