ward_code,actual_mean,actual_std,actual_sum,pred_ensemble_mean,pred_ensemble_std,pred_ensemble_sum,abs_error_mean,abs_error_median,abs_error_std,abs_pct_error_mean,abs_pct_error_median,is_underpredicted_mean,r2_score
E05013539,0.76,0.8935,38.0,1.1604,1.0588,58.0222,0.5854,0.5454,0.5352,51.5167,31.233,0.3,0.20324776905021347
E05013516,1.22,1.2982,61.0,1.3787,1.1879,68.9332,0.5917,0.31,0.6791,42.2073,21.4022,0.44,0.5143969161123592
E05013655,1.04,1.2115,52.0,1.3489,1.2071,67.4431,0.6002,0.1533,0.6473,46.6927,13.0495,0.18,0.4640577335213766
E05013921,1.28,1.1613,64.0,1.6202,1.151,81.0075,0.6217,0.3637,0.6274,45.5562,16.9389,0.28,0.4157248916315889
E05014053,0.92,1.3974,46.0,1.1723,1.1652,58.6147,0.6823,0.1429,0.9623,49.7525,10.9146,0.18,0.2824612616400217
E05014068,1.04,1.0093,52.0,1.5413,1.0482,77.0664,0.6883,0.6051,0.6473,60.0125,28.5127,0.16,0.11424483901760651
E05013936,1.28,1.1787,64.0,1.7076,1.2326,85.3795,0.7181,0.3907,0.724,60.3451,21.5262,0.32,0.24392368740631742
E05013929,1.2,1.2778,60.0,1.5546,1.2396,77.7323,0.7304,0.4207,0.7075,56.5347,25.384,0.32,0.3599818093081254
E05013942,1.6,1.2617,80.0,2.0394,1.2976,101.968,0.7344,0.5487,0.6973,51.0743,22.049,0.28,0.3488382060163856
E05013542,1.26,1.3822,63.0,1.5624,1.274,78.118,0.7411,0.478,0.7833,51.5849,25.3485,0.34,0.3855399132025287
E05013907,1.92,2.2483,96.0,1.8348,1.8499,91.7377,0.7495,0.3886,0.9884,33.6411,15.0032,0.4,0.6933053221908283
E05013504,1.7,1.4743,85.0,1.8924,1.2615,94.6193,0.7538,0.5457,0.701,43.2726,23.9522,0.42,0.5071418201898101
E05013934,1.34,1.0806,67.0,1.839,1.1713,91.9487,0.7544,0.5283,0.6748,59.9624,29.8666,0.26,0.11278119728287461
E05013935,1.44,1.3726,72.0,1.8115,1.3539,90.5754,0.7709,0.5038,0.783,54.8967,23.3368,0.36,0.3527215828997029
E05011217,1.22,1.7296,61.0,1.4663,1.2864,73.3128,0.7875,0.2558,1.2577,54.6462,21.7391,0.34,0.25961871061887065
E05013996,1.16,1.4337,58.0,1.4142,1.1703,70.708,0.8135,0.4586,0.9983,57.0059,25.9782,0.38,0.18658383395214873
E05013928,1.46,1.5546,73.0,1.7194,1.2712,85.9693,0.8217,0.4722,0.8426,57.1506,28.1068,0.4,0.4211377908461794
E05013922,1.84,1.4758,92.0,1.9927,1.0723,99.6333,0.8224,0.6408,0.7738,52.6312,23.9798,0.44,0.4082556911551949
E05013632,1.54,1.3734,77.0,1.809,1.1031,90.4476,0.8334,0.851,0.7577,59.9864,29.7659,0.38,0.31984236209366645
E05013554,1.2,1.088,60.0,1.8022,1.2334,90.1086,0.8517,0.775,0.6247,69.7178,37.2765,0.28,0.04489314228673391
E05014059,1.64,1.6874,82.0,1.8374,1.3043,91.8678,0.8604,0.7109,0.8852,53.8242,29.9493,0.34,0.4595004098740142
E05013552,1.44,1.3874,72.0,1.953,1.4423,97.6511,0.881,0.4347,1.044,67.2839,22.7894,0.36,0.022292473317748973
E05013826,1.54,1.4598,77.0,1.9627,1.2583,98.1362,0.8891,0.75,0.77,68.4836,26.6224,0.28,0.34319892655679274
E05014085,1.7,1.374,85.0,2.1364,1.1489,106.8181,0.9133,0.8162,0.7195,66.0001,28.2295,0.34,0.2748466654416184
E05013572,1.7,1.669,85.0,2.0133,1.3803,100.6646,0.9321,0.9189,0.8521,60.7291,35.3512,0.36,0.42110994067019725
E05013607,1.44,1.58,72.0,1.8001,1.3132,90.0055,0.9425,0.9536,0.9402,63.3334,39.4461,0.24,0.282781716734102
E05013759,1.78,1.4469,89.0,2.1749,1.1819,108.7462,0.9466,0.7855,0.8128,61.2992,34.8984,0.32,0.2477045223009825
E05013543,1.74,1.5228,87.0,2.1394,1.2218,106.9677,0.9557,0.8798,0.7868,66.001,36.9263,0.34,0.33113513153193985
E05013547,1.86,1.4287,93.0,2.309,1.0808,115.4525,0.9602,0.7882,0.7676,65.2771,34.4867,0.3,0.2504520679002842
E05013750,1.72,1.4852,86.0,2.1149,1.1571,105.7464,0.9631,0.8207,0.7934,65.4446,31.3397,0.24,0.28547461190300305
E05013931,1.78,1.8103,89.0,2.0445,1.4159,102.2255,0.9681,0.6477,1.0314,56.9226,30.7077,0.34,0.3835672124704359
E05013514,2.1,1.3887,105.0,2.4835,1.0379,124.176,0.9707,0.5863,0.9664,60.8304,27.8372,0.3,0.017232740615136244
E05013734,2.84,1.4896,142.0,3.2571,1.0451,162.8573,0.974,0.6539,0.9388,58.3259,19.2303,0.36,0.16648921945268813
E05013930,1.68,1.2848,84.0,2.2027,1.1036,110.134,0.974,1.0315,0.7359,68.5204,43.2767,0.26,0.0854436446164697
E05013760,1.98,1.5185,99.0,2.4413,1.2176,122.063,0.9742,0.8488,0.7777,64.3062,32.5636,0.24,0.3176976451628635
E05013972,1.28,1.0506,64.0,1.9385,1.1911,96.9262,0.975,0.8402,0.7603,80.1849,38.8503,0.22,-0.402687906336213
E05011254,2.28,1.8187,114.0,2.5328,1.2948,126.6387,1.0041,0.8229,1.0326,57.1499,25.2481,0.38,0.3666436458637443
E05011481,1.74,1.4682,87.0,2.1173,1.2542,105.8664,1.0142,0.9783,0.8911,72.1447,35.0117,0.42,0.1446562798153307
E05013816,2.56,1.6183,128.0,2.7899,1.1333,139.4953,1.0174,0.6558,0.9362,55.1328,25.6947,0.34,0.26197301030531384
E05013898,1.8,1.6162,90.0,2.2041,1.2492,110.2068,1.0252,0.5096,1.0894,69.653,26.0916,0.28,0.1351547954126826
E05014015,1.82,1.9968,91.0,2.003,1.5007,100.1506,1.0329,0.9923,1.1312,63.163,28.8845,0.34,0.40603754747914067
E05013761,1.66,1.5066,83.0,2.1169,1.136,105.8428,1.0333,0.7705,1.0126,74.1977,29.3759,0.24,0.06822158961657077
E05011469,2.92,1.4405,146.0,3.2103,1.0479,160.5163,1.0459,0.9363,0.7932,46.8849,28.9723,0.36,0.15882350379714671
E05013511,2.36,1.6753,118.0,2.6826,1.2087,134.128,1.0593,0.8602,0.8828,61.4718,30.2676,0.4,0.31434237947014243
E05011470,2.06,1.4057,103.0,2.4909,1.0621,124.5425,1.064,0.994,0.8455,71.2136,32.9841,0.32,0.053565015515620984
E05013568,1.52,1.729,76.0,1.8864,1.2499,94.321,1.0643,0.8293,1.0266,73.8372,40.6687,0.3,0.260846897018714
E05013505,2.22,2.1504,111.0,2.1967,1.4923,109.8366,1.0686,0.763,1.1363,53.5897,35.0293,0.46,0.4688133305724618
E05013791,2.44,1.4591,122.0,2.9789,1.337,148.9464,1.0728,0.7778,0.9411,61.8943,28.5761,0.36,0.0323780658250431
E05013983,2.08,1.9149,104.0,2.3904,1.4528,119.5187,1.0731,0.6764,1.1258,64.4733,32.0433,0.3,0.3339204126569376
E05009328,1.88,1.4658,94.0,2.4996,1.3248,124.9823,1.0868,1.0095,0.909,65.8907,41.7516,0.2,0.05439868711035112
E05011473,1.66,1.1886,83.0,2.3589,1.2401,117.9439,1.087,1.0947,0.7837,77.6038,51.3788,0.22,-0.288292582441795
E05013803,2.38,1.701,119.0,2.7625,1.1087,138.1275,1.0891,0.8703,1.0129,68.4633,24.902,0.36,0.22708966908564554
E05011249,1.72,1.4434,86.0,2.3324,1.2304,116.6202,1.1043,1.0156,0.8848,80.6764,37.3541,0.28,0.02689439805801086
E05013562,2.18,1.5868,109.0,2.5332,1.1912,126.6579,1.1127,0.8304,0.9178,70.5301,36.7544,0.42,0.16368512178503591
E05009384,2.64,1.9141,132.0,2.9792,1.3564,148.9594,1.1216,0.8427,1.1455,56.6242,29.7687,0.32,0.2914674674494565
E05013553,2.26,1.9252,113.0,2.4526,1.4896,122.6291,1.1301,0.8931,0.9518,62.0852,32.7419,0.36,0.40396225672799724
E05013742,2.08,1.6268,104.0,2.7166,1.0143,135.8316,1.1326,0.7833,1.1539,80.2666,36.6591,0.2,0.002309500805354636
E05013968,2.22,1.8658,111.0,2.5531,1.5306,127.6555,1.1327,0.7579,1.0435,67.0853,30.7665,0.46,0.31117370139967293
E05014055,2.06,1.6088,103.0,2.4445,1.0582,122.2273,1.1472,1.0305,0.9752,74.3774,42.8176,0.32,0.11372356711869303
E05011097,2.12,1.4377,106.0,2.6997,1.0289,134.983,1.1506,0.9494,0.8195,81.0192,38.3007,0.32,0.02152426648051975
E05013970,2.0,1.9272,100.0,2.3765,1.3251,118.8262,1.1589,0.9169,1.1266,68.5663,42.7489,0.3,0.28931042693478015
E05014054,2.58,1.6299,129.0,3.021,1.0908,151.052,1.1622,0.9229,1.0656,61.8296,33.2819,0.32,0.053817371311862705
E05013569,2.42,1.9493,121.0,2.6179,1.3726,130.8955,1.1631,0.9523,1.0366,59.5822,33.5089,0.36,0.35389983627560384
E05013620,2.28,1.7501,114.0,2.663,1.3656,133.1521,1.169,0.9509,1.0541,61.9768,30.1157,0.28,0.18198301462270217
E05013886,2.3,1.7409,115.0,2.6831,1.3757,134.1538,1.1739,0.9393,0.8932,61.6466,33.2637,0.32,0.2727861769888442
E05013666,1.86,1.6538,93.0,2.4181,1.2422,120.9042,1.1785,1.1661,0.9828,82.0001,48.2342,0.2,0.12869832378551516
E05011219,2.18,1.6499,109.0,2.637,1.2555,131.8492,1.1795,0.8927,1.1011,70.7491,32.6746,0.38,0.03302498136268084
E05013512,2.06,1.634,103.0,2.347,1.0318,117.3487,1.1915,1.1219,0.9381,78.9119,42.6234,0.4,0.12778570223040775
E05013557,2.14,1.6661,107.0,2.4721,1.2201,123.6068,1.1933,1.0404,0.9396,70.047,38.993,0.38,0.15855124782714203
E05013506,2.26,1.6264,113.0,2.7605,1.2651,138.0264,1.1946,0.9422,1.0124,75.5639,34.7548,0.32,0.06209717594400899
E05013558,2.14,1.512,107.0,2.7561,1.1213,137.8037,1.1983,0.9738,0.928,74.6643,46.7842,0.3,-0.017571568055673614
E05011250,2.1,1.5017,105.0,2.6532,1.1934,132.6618,1.2073,1.2813,0.803,76.955,45.0477,0.34,0.054518109508848944
E05013976,2.16,1.5566,108.0,2.6855,1.3471,134.2743,1.2109,1.1753,1.0618,73.9743,40.4643,0.28,-0.08293218231518695
E05013810,1.84,1.5826,92.0,2.4137,1.2132,120.6843,1.2119,1.1347,0.8892,83.7431,48.9901,0.18,0.08593350053941362
E05014077,2.42,2.0009,121.0,2.5578,1.3059,127.8904,1.2335,1.1211,1.0397,63.0899,38.582,0.38,0.3422059945137441
E05013686,2.5,1.6067,125.0,2.7587,1.0778,137.9356,1.2345,1.0979,0.8988,65.6166,40.1919,0.4,0.08469998419619817
E05011466,2.86,1.6164,143.0,3.3078,1.2911,165.3901,1.2412,1.0061,0.9729,67.0684,26.884,0.44,0.03608084997771721
E05013578,1.88,1.686,94.0,2.5166,1.4147,125.8317,1.2415,1.0986,1.0945,88.1737,39.0552,0.36,0.025261496586255983
E05013586,2.1,1.4743,105.0,2.7627,1.0431,138.1332,1.2434,1.2725,0.7666,85.3001,46.3659,0.24,0.003785573015475996
E05013546,2.64,1.6995,132.0,3.0861,1.1349,154.3065,1.2437,1.1965,0.8964,65.6137,38.1136,0.34,0.1753241674606073
E05013822,2.06,1.6464,103.0,2.5244,1.2427,126.2194,1.2442,1.1054,0.9518,78.0844,43.9822,0.32,0.08301637687026375
E05013829,2.1,2.0025,105.0,2.3912,1.2328,119.56,1.2565,0.9285,1.2648,73.2977,45.361,0.36,0.1993571752602208
E05013820,2.14,1.9484,107.0,2.5872,1.0922,129.3592,1.258,1.1039,1.2267,77.5236,44.5169,0.26,0.1782256860117727
E05013772,2.56,2.1108,128.0,2.725,1.3619,136.2523,1.2583,1.0322,1.2843,62.9734,38.0027,0.4,0.26722895635944655
E05011228,2.9,2.1595,145.0,3.2431,1.411,162.1575,1.2608,0.7883,1.3831,66.7035,27.7113,0.3,0.2419601061268256
E05013748,3.64,1.6005,182.0,4.0143,0.8336,200.7148,1.2634,1.0656,0.9506,59.3972,23.4194,0.4,0.011447656916522053
E05011220,2.34,2.0265,117.0,2.6343,1.3549,131.7143,1.2651,1.186,1.1055,78.8779,41.5161,0.48,0.30465675133351
E05013733,1.8,1.3851,90.0,2.5725,1.0167,128.6227,1.2734,1.4007,0.8566,101.0536,47.159,0.22,-0.2451116709478376
E05014119,2.72,1.6293,136.0,3.3088,1.2488,165.4375,1.2767,1.1453,0.9361,61.7161,42.4564,0.3,0.04334139325227393
